ID,Class Name,Date,Time (IST),Dimensions (Width x Height),Xmin,Ymin,Xmax,Ymax,Frame Width,Frame Height
1,car,18-11-2024,03:05:15 PM,244x282,77,55,321,337,1440,1616
2,bus,18-11-2024,03:05:15 PM,174x371,845,57,1019,428,1440,1616
1,car,18-11-2024,03:05:17 PM,243x285,77,53,320,338,1440,1616
2,bus,18-11-2024,03:05:17 PM,173x373,845,56,1018,429,1440,1616
1,car,18-11-2024,03:05:18 PM,246x279,82,56,328,335,1440,1616
2,bus,18-11-2024,03:05:18 PM,172x373,846,56,1018,429,1440,1616
1,car,18-11-2024,03:05:19 PM,245x283,76,55,321,338,1440,1616
2,bus,18-11-2024,03:05:19 PM,171x376,846,55,1017,431,1440,1616
1,car,18-11-2024,03:05:21 PM,244x283,77,54,321,337,1440,1616
2,bus,18-11-2024,03:05:21 PM,173x369,845,51,1018,420,1440,1616
1,car,18-11-2024,03:05:22 PM,246x281,82,54,328,335,1440,1616
2,bus,18-11-2024,03:05:22 PM,173x375,845,55,1018,430,1440,1616
1,car,18-11-2024,03:05:24 PM,247x284,75,54,322,338,1440,1616
2,bus,18-11-2024,03:05:24 PM,174x373,845,56,1019,429,1440,1616
1,car,18-11-2024,03:05:25 PM,245x283,76,54,321,337,1440,1616
2,bus,18-11-2024,03:05:25 PM,175x372,844,57,1019,429,1440,1616
1,car,18-11-2024,03:05:27 PM,246x283,76,54,322,337,1440,1616
2,bus,18-11-2024,03:05:27 PM,173x375,845,55,1018,430,1440,1616
1,car,18-11-2024,03:05:28 PM,242x283,78,54,320,337,1440,1616
2,bus,18-11-2024,03:05:28 PM,173x372,845,50,1018,422,1440,1616
1,car,18-11-2024,03:05:29 PM,243x281,83,55,326,336,1440,1616
2,bus,18-11-2024,03:05:29 PM,173x371,845,57,1018,428,1440,1616
1,car,18-11-2024,03:05:31 PM,245x281,76,55,321,336,1440,1616
2,bus,18-11-2024,03:05:31 PM,171x373,846,56,1017,429,1440,1616
1,car,18-11-2024,03:05:32 PM,244x282,83,54,327,336,1440,1616
2,bus,18-11-2024,03:05:32 PM,175x376,844,55,1019,431,1440,1616
1,car,18-11-2024,03:05:34 PM,242x282,78,55,320,337,1440,1616
2,bus,18-11-2024,03:05:34 PM,173x375,845,55,1018,430,1440,1616
1,car,18-11-2024,03:05:35 PM,245x288,76,52,321,340,1440,1616
2,bus,18-11-2024,03:05:35 PM,173x374,845,56,1018,430,1440,1616
1,car,18-11-2024,03:05:37 PM,245x284,76,53,321,337,1440,1616
2,bus,18-11-2024,03:05:37 PM,175x372,844,57,1019,429,1440,1616
1,car,18-11-2024,03:05:38 PM,243x284,77,53,320,337,1440,1616
2,bus,18-11-2024,03:05:38 PM,171x373,846,57,1017,430,1440,1616
1,car,18-11-2024,03:05:40 PM,241x284,78,53,319,337,1440,1616
